Month,AC System Output(kWh),DC array Output (kWh),,,,,,,,,,,Month,Solar Radiation (kWh/m^2/day)
January,280.7730103,294.5542908,,,,,,,,,,,January,2.77621317
February,325.569458,340.7643127,,,,,,,,,,,February,3.60861897
March,519.3677368,542.237793,,,,,,,,,,,March,5.32571697
April,551.8544922,576.2073975,,,,,,,,,,,April,5.82128716
May,598.0317383,624.4899902,,,,,,,,,,,May,6.37727308
June,638.2589111,666.2684937,,,,,,,,,,,June,7.15605831
July,681.2539673,710.9833374,,,,,,,,,,,July,7.57010031
August,625.0112305,652.2501831,,,,,,,,,,,August,6.83660889
Septempber,464.6575012,485.477356,,,,,,,,,,,Septempber,5.07993937
October,388.3343201,406.2103272,,,,,,,,,,,October,4.07534885
November,293.141449,307.0417175,,,,,,,,,,,November,3.06742597
Devember,202.127182,213.3273163,,,,,,,,,,,Devember,1.98005116
