PVWatts: Monthly PV Performance Data,,,,,,,,,,,,,,,,,,,,
Requested Location:,manancomp1993@gmail.com,,,,,,,,,,,,,,,,,,,
Location:,"MADRID, SPAIN",,,,,,,,,,,,,,,,,,,
Lat (deg N):,40.45,,,,,,,,,,,,,,,,,,,
Long (deg W):,3.55,,,,,,,,,,,,,,,,,,,
Elev (m):,582,,,,,,,,,,,,,,,,,,,
DC System Size (kW):,4,,,,,,,,,,,,,,,,,,,
Module Type:,Standard,,,,,,,,,,,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,,,,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,,,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,,,,,,,,,,,
System Losses:,14.08,,,,,,,,,,,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,,,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,,,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.09,,,,,,,,,,,,,,,,,,,
Capacity Factor (%),"15.9	",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Month,AC System Output(kWh),Solar Radiation (kWh/m^2/day),Plane of Array Irradiance (W/m^2),DC array Output (kWh),Value ($),,,,E = A * r * H * PR,,,E = Energy   (kWh),,,,,,,5345.645757,kWh/an
1,280.7730103,2.77621317,86.06260681,294.5542908,25.27,,,,,,,A = Total solar panel Area  (m²),,,,,,,93.31234827,m²
2,325.569458,3.60861897,101.0413284,340.7643127,29.3,,,,E = ,,,r = solar panel yield (%),,,,,,,16%,
3,519.3677368,5.32571697,165.097229,542.237793,46.74,,,,,,,H = Annual average irradiation on tilted panels (shadings not included)*,,,,,,,59.67464221,kWh/m².an
4,551.8544922,5.82128716,174.6386108,576.2073975,49.67,,,,,,,"PR = Performance ratio, coefficient for losses  (range between 0.9 and 0.5, default value =  0.75)",,,,,,,0.5,
5,598.0317383,6.37727308,197.6954651,624.4899902,53.82,,,,,,,,,,,,,,,
6,638.2589111,7.15605831,214.6817474,666.2684937,57.44,,,,,,,,,,,,,,,
7,681.2539673,7.57010031,234.673111,710.9833374,61.31,,,,,,,222.7352401,,,,,,,,
8,625.0112305,6.83660889,211.9348755,652.2501831,56.25,,,,,,,96,,,,,,,,
9,464.6575012,5.07993937,152.3981781,485.477356,41.82,,,,,,,,,,,,,,,
10,388.3343201,4.07534885,126.3358078,406.2103272,34.95,,,,,,,,,,,,,,,
11,293.141449,3.06742597,92.02278137,307.0417175,26.38,,,,,,,,,,,,,,,
12,202.127182,1.98005116,61.38158417,213.3273163,18.19,,,,,,,,,,,,,,,
Total,5568.380997,59.67464221,1817.963326,5819.812515,501.14,,,,,,Month,AC System Output(kWh),DC array Output (kWh),,,,,,,
,,,,,,,,,,,January,280.7730103,294.5542908,,,,,,,
,,,,,,,,,,,February,325.569458,340.7643127,,,,,,,
,,,,,,,,,,,March,519.3677368,542.237793,,,,,,,
,464.0317497,,,484.9843763,,,,,,,April,551.8544922,576.2073975,,,,,,,
,,,,,,,,,,,May,598.0317383,624.4899902,,,,,,,
,,,,,,,,,,,June,638.2589111,666.2684937,,,,,,,
,,11388.19351,,,,,,,,,July,681.2539673,710.9833374,,,,,,,
,,,,,,,,,,,August,625.0112305,652.2501831,,,,,,,
,,,,,,,,,,,September,464.6575012,485.477356,,,,,,,
,Month,Solar Radiation (kWh/m^2/day),,,,,,,,,October,388.3343201,406.2103272,,,,,,,
,January,2.77621317,,,,,,,,,November,293.141449,307.0417175,,,,,,,
,February,3.60861897,,,,,,,,,December,202.127182,213.3273163,,,,,,,
,March,5.32571697,,,,,,,,,,,,,,,,,,
,April,5.82128716,,,,,,,,,,,,,,,,,,
,May,6.37727308,,,,,,,,,,,,,,,,,,
,June,7.15605831,,,,,,,,,,,,,,,,,,
,July,7.57010031,,,,,,,,,,,,,,,,,,
,August,6.83660889,,,,,,,,,,,,,,,,,,
,September,5.07993937,,,,,,,,,,,,,,,,,,
,October,4.07534885,,,,,,,,,,,,,,,,,,
,November,3.06742597,,,,,,,,,,,,,,,,,,
,December,1.98005116,,,,,,,,,,,,,,,,,,
